mastar,verleden_tijd_enkelvoud,verleden_tijd_meervoud,voltooid_tijd,aile_kodu,aile_adi,betekenis_tr,betekenis_en
aandoen,deed aan,deden aan,hebben aangedaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",giymek,to put on
aangeven,gaf aan,gaven aan,hebben aangegeven,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),vermek / bildirmek,to hand in / to indicate
aanhouden,hield aan,hielden aan,hebben aangehouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),sürdürmek / yakalamak,to continue / to arrest
aankijken,keek aan,keken aan,hebben aangekeken,K1_ij-ee-e,ij → ee → e (blijven tipi),bakmak / yüzüne bakmak,to look at
aanlopen (tegen),liep aan,liepen aan,zijn aangelopen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),rastlamak,to run into / to bump into
aannemen,nam aan,namen aan,hebben aangenomen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),kabul etmek / varsaymak,to accept / to assume
aanraden,raadde aan,raadden aan,hebben aangeraden,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),tavsiye etmek,to recommend
aanrijden,reed aan,reden aan,hebben aangereden,K1_ij-ee-e,ij → ee → e (blijven tipi),çarpmak / yaklaşmak,to hit (with a vehicle) / to drive up
aansluiten,sloot aan,sloten aan,hebben aangesloten,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),bağlamak / katılmak,to connect / to join
aanspreken,sprak aan,spraken aan,hebben aangesproken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),hitap etmek / seslenmek,to address / to speak to
aansteken,stak aan,staken aan,hebben aangestoken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),yakmak / açmak,to light / to switch on
aanwijzen,wees aan,wezen aan,hebben aangewezen,K1_ij-ee-e,ij → ee → e (blijven tipi),işaret etmek / göstermek,to point out / to designate
afbreken,brak af,braken af,hebben/zijn afgebroken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),yıkmak / koparmak,to demolish / to break off
afnemen,nam af,namen af,hebben/zijn afgenomen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),azalmak / almak,to decrease / to take away
afslaan,sloeg af,sloegen af,hebben/zijn afgeslagen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),sapmak / savuşturmak,to turn off / to refuse
afsluiten,sloot af,sloten af,hebben afgesloten,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),kapatmak / sona erdirmek,to close / to conclude
afstuderen,studeerde af,studeerden af,zijn afgestudeerd,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),mezun olmak,to graduate
afvragen,vroeg af,vroegen af,hebben afgevraagd,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),kendi kendine sormak,to wonder
bakken,bakte,bakten,hebben gebakken,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),pişirmek / kızartmak,to bake / to fry
bedenken,bedacht,bedachten,hebben bedacht,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),düşünüp bulmak,to think up / to devise
beginnen,begon,begonnen,zijn begonnen,K3_i-o-o,i/e → o → o (vinden/breken tipi),başlamak,to begin
begrijpen,begreep,begrepen,hebben begrepen,K1_ij-ee-e,ij → ee → e (blijven tipi),anlamak,to understand
behangen,behing,behingen,hebben behangen,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),duvar kağıdı kaplamak,to paper (a wall)
bekijken,bekeek,bekeken,hebben bekeken,K1_ij-ee-e,ij → ee → e (blijven tipi),bakmak / incelemek,to look at / to view
beschrijven,beschreef,beschreven,hebben beschreven,K1_ij-ee-e,ij → ee → e (blijven tipi),tanımlamak / betimlemek,to describe
besluiten,besloot,besloten,hebben besloten,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),karar vermek,to decide
bespreken,besprak,bespraken,hebben besproken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),tartışmak / görüşmek,to discuss
bestaan (uit),bestond,bestonden,hebben bestaan,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),oluşmak / var olmak,to consist (of) / to exist
bevallen,beviel,bevielen,zijn bevallen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),hoşuna gitmek / doğum yapmak,to please / to give birth
bewegen,bewoog,bewogen,hebben bewogen,K5_e-ee-o,e → ee → o (wegen tipi),hareket etmek,to move
bezighouden (met),hield bezig,hielden bezig,hebben beziggehouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),meşgul etmek,to keep busy (with)
bezoeken,bezocht,bezochten,hebben bezocht,K11_oe-ee-o,oe/ie → ee/o → o (roepen/genieten tipi),ziyaret etmek,to visit
bieden,bood,boden,hebben geboden,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),sunmak / teklif etmek,to offer
bijdragen (aan),droeg bij,droegen bij,hebben bijgedragen,K6_a-oe-a,a → oe → a (dragen tipi),katkıda bulunmak,to contribute (to)
